CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
12745006	0	Operative procedure on pelvis (procedure)	XU6yq	P1-14020	0
12921003	0	Pelvic structure (body structure)	Xa1gg	T-D6000	1
12953007	0	File, device (physical object)	XU7Pp	A-45580	1
13136005	0	Injection site (morphologic abnormality)	XU7Sl	M-14380	1
13321001	0	Fracture, comminuted (morphologic abnormality)	Zw027	M-12090	1
13648007	0	Urethral structure (body structure)	XM0Q0	T-75000	1
13924000	0	Wound (morphologic abnormality)	XU7fy	M-14000	1
13975002	0	Open dislocation of glenohumeral joint (disorder)	XU7gs	DD-14510	0
14016003	0	Bone marrow structure (body structure)	XaEko	T-C1000	1
14218005	0	Structure of side of head (body structure)	XS10S	T-D1101	1
14317002	0	Acute myeloid leukemia, M6 type (morphologic abnormality)	BBr40	M-98403	1
14319004	0	Local anti-infective (product)	XU7lz	C-90200	1
14443002	0	Aminoglycoside -class of antibiotic- (substance)	XU7no	C-52500	1
14559000	0	Structure of apex of left lung (body structure)	XU7pV	T-28510	0
14563007	0	Endoscopy of pelvic cavity (procedure)	XU7pY	P1-B9720	0
14679004	0	Occupation (occupation)	0....	J-00000	1
14734007	0	Administrative procedure (procedure)	Xa22i	P0-00100	1
14742008	0	Large intestinal structure (body structure)	Xa1Fv	T-59000	1
14766002	0	Aspiration (procedure)	XU7sK	P1-03130	0
14789005	0	Prosthetic implant, device (physical object)	X79lc	A-04020	1
14833006	0	Cardiovascular drug (product)	b....	C-80000	1
14861000	0	Operation on bladder (procedure)	XU7to	P1-74010	0
15197002	0	Operation on urethra (procedure)	X30FS	P1-75010	0
15220000	0	Laboratory test (procedure)	X7A0B	P3-00030	1
15240007	0	Current (qualifier value)	XU7zZ	G-7210	1
15387003	5	Vomiting (disorder)	XE0rA	F-52770	1
15394000	0	Toxemia of pregnancy (disorder)	XU81d	D8-11205	1
15425007	0	Peritoneum (serous membrane) structure (body structure)	7N812	T-D4400	1
15447007	0	Joint prosthesis, device (physical object)	Xa1w9	A-04430	1
15725006	4	Operation on peritoneum (procedure)	7H2..	P1-B7010	1
15825003	0	Aortic structure (body structure)	XM0PZ	T-42000	1
15938005	0	Eclampsia (disorder)	L126.	D8-11250	1
16349000	0	Orthopedic device (physical object)	XU8F9	A-12000	1
16403005	0	Non-steroidal anti-inflammatory agent (product)	j2...	C-60300	1
16650009	0	Splint, device (physical object)	X79js	A-12220	1
16756008	0	Albuminuria in pregnancy without hypertension (disorder)	XU8Kh	D8-14154	1
16862005	4	Extrinsic asthma [Ambiguous] (disorder)	XE0YQ	D2-51100	1
16932000	0	Nausea and vomiting (disorder)	Xa1pJ	F-52840	1
16934004	0	Renal vascular disorder (disorder)	K138.	D7-13000	0
16982005	0	Shoulder region structure (body structure)	Xa9Yc	T-D2220	1
17006003	0	Replacement of bladder catheter (procedure)	XU8O9	P1-74530	0
17041004	0	Incision of appendix (procedure)	XU8Oc	P1-57180	0
17322007	0	Disease caused by parasite (disorder)	XU8SI	DE-50000	0
17386008	0	Anti-infective agent (product)	x01Gz	C-52000	1
17398003	0	Structure of left side of heart (body structure)	XS0p8	T-32002	1
17571003	0	Upper urinary tract structure (body structure)	XaDwq	T-70010	1
17636008	0	Specimen collection (procedure)	Xa2WV	P3-02000	1
17788007	0	Acute myeloid leukemia, no ICD-O subtype (morphologic abnormality)	BBr61	M-98613	1
17987008	2	Digestive tract function (observable entity)	XU8aY	F-50000	1
18151003	0	Punch, device (physical object)	X90es	A-14020	1
18373002	0	Nervous system function (observable entity)	XU8fF	F-A0000	1
18526009	0	Disorder of appendix (disorder)	Xa9C3	D5-46000	0
18629005	0	Administration of medication (procedure)	Ua1VF	PA-30000	1
18867006	0	Structure resulting from tissue repair process (morphologic abnormality)	XU8lS	M-78300	1
18994009	0	Removal of foreign body from soft tissue (procedure)	XU8mu	P1-10408	0
19019007	4	Symptom (finding)	XU8nF	F-01250	1
19030005	0	Human immunodeficiency virus (organism)	Xa0ye	L-35210	1
19061001	0	Ascaris lumbricoides (organism)	X80sF	L-56201	1
19093009	0	Structure of proximal third of shaft of bone (body structure)	XU8oB	T-11053	1
19130008	0	Traumatic abnormality (morphologic abnormality)	XU8oe	M-10000	1
19203006	0	Structure of abdominal viscus (body structure)	XU8qi	T-D4030	1
19227008	0	Foreign body (morphologic abnormality)	X79hh	M-30400	1
19255007	4	Skin structure of upper extremity (body structure)	XU8s6	T-02600	1
19440001	0	Explosion (physical force)	XU8x5	A-80400	1
19660004	0	Disorder of soft tissue (disorder)	XaCOm	D1-50040	0
19744006	0	Operation on gallbladder (procedure)	781..	P1-5C010	0
19787009	0	Lower urinary tract structure (body structure)	XaDwr	T-70020	1
19819008	0	Structure of lateral region of trunk (body structure)	XS0IU	T-D2001	1
19829001	0	Disorder of lung (disorder)	XU97x	D2-50000	0
19923001	0	Catheter, device (physical object)	x00iG	A-26800	1
19949006	0	Structure of condylar joint (body structure)	XU9BF	T-15070	1
20135006	0	Screening procedure (procedure)	XE1TS	P2-06000	0
20139000	0	Structure of respiratory system (body structure)	XU9Gb	T-20000	1
20159001	0	Structure of soft tissues of pelvis (body structure)	XU9H9	T-D6250	1
20362009	4	Transurethral destruction of lesion of bladder (procedure)	XE0GD	P1-74719	1
20568009	0	Urinary catheter, device (physical object)	X7AFX	A-26870	1
20613002	0	Cystoscope, device (physical object)	X79iF	A-2B070	1
20795001	0	Structure of skin region (body structure)	XU9St	T-02000	1
20946005	0	Fracture, closed (morphologic abnormality)	XaF7P	M-12100	1
20997002	0	Hand tool, device (physical object)	XU9V4	A-45501	1
21339000	0	Radiography of intestine (procedure)	XU9ZJ	P5-50100	0
21371007	0	Operation on abdominal region (procedure)	XU9Zl	P1-B6010	0
21483005	0	Structure of central nervous system (body structure)	Xa1qt	T-A0090	1
21512007	0	Appendiceal crypt of Lieberkühn (body structure)	XU9bT	T-59206	1
21514008	0	Structure of genitourinary system (body structure)	X755u	T-70200	1
21568003	0	Adrenal cortical hormone (substance)	XU9cE	F-B2400	1
21602007	0	Animal disease vaccine (product)	XU9cd	C-E0000	1
21656000	0	Removal of calculus of prostate (procedure)	XU9dI	P1-78390	0
21720007	0	Electrical burn (morphologic abnormality)	XU9e5	M-11130	1
21793004	0	Connective tissue structure (body structure)	XU9ex	T-1A200	1
21814001	0	Cardiac ventricular structure (body structure)	XM0PT	T-32400	1
21829004	0	Blood vessel finding (finding)	X76Kq	F-3A000	0
21844003	0	Pelvic cavity structure (body structure)	Xa1vG	T-D6221	1
21957007	4	Immune hypersensitivity reaction (disorder)	XU9gu	F-C3000	1
22091006	0	Hormone preparation (product)	XU9if	C-A0000	1
22218007	0	Lower urinary tract obstructive syndrome (disorder)	XU9kH	D7-20010	0
22253000	0	Pain (finding)	Xa07F	F-A2600	1
22286001	0	External carotid artery structure (body structure)	XU8yc	T-45200	1
22331004	0	Acute monocytic leukemia, morphology (morphologic abnormality)	BBr91	M-98913	1
22488003	0	Appendiceal serosa (body structure)	XU9nV	T-59230	1
22911007	0	Closed traumatic dislocation of joint of shoulder region (disorder)	XU9sm	DD-14500	0
22925008	0	Neonatal disorder (disorder)	XU9sx	DF-00200	0
22943007	0	Trunk structure (body structure)	Xa1gJ	T-D2000	1
23043003	0	Uterine adnexae structure (body structure)	Xa8pp	T-88900	1
23583003	0	Inflammation (morphologic abnormality)	XUA0z	M-40000	1
23852006	0	Cardiac monitoring (regime/therapy)	XUA4T	P2-34010	1
23968004	0	Colectomy (procedure)	X20XD	P1-57330	0
23973005	0	Indwelling urinary catheter, device (physical object)	XUA5r	A-26871	1
24028007	0	Right (qualifier value)	7NB31	G-A100	1
24039005	2	Emotion, function (observable entity)	XUA6e	F-92000	1
24072005	0	Acute leukemia, morphology, including blast cell OR undifferentiated leukemia (morphologic abnormality)	BBr01	M-98013	1
24136001	0	Hip joint structure (body structure)	Xa1Q5	T-15710	1
24139008	0	Endoscopy of urinary bladder (procedure)	XUA7j	P1-74700	0
24184005	0	Finding of increased blood pressure (finding)	XUA8L	F-31003	1
24448007	0	Bacterial infection due to Klebsiella pneumoniae (disorder)	XUABV	DE-19110	0
24526004	0	Inflammatory bowel disease (disorder)	XE0ae	D5-40990	0
24827003	0	White blood cell abnormality (morphologic abnormality)	XUAG7	M-64000	1
24907000	0	Disease due to Lentivirus (disorder)	XUAHA	DE-36200	0
25005004	0	Snare, device (physical object)	XM0GE	A-14050	1
25064002	0	Headache (finding)	XE0rh	F-A2700	0
25087005	0	Structure of nervous system (body structure)	7N0..	T-A0000	1
25101005	0	Removal of therapeutic device (procedure)	XUAJQ	P1-05513	1
25220001	4	Bladder neck obstruction (disorder)	XE0dr	D7-21400	1
25305005	0	Long-acting insulin (substance)	XUAM0	C-A2212	1
25508008	0	Pathological drug intoxication (disorder)	E022.	DD-82901	1
25876001	0	Emergency (qualifier value)	X78uH	G-D209	1
26036001	0	Obstruction (morphologic abnormality)	X79q0	M-34000	1
26107004	0	Structure of musculoskeletal system (body structure)	X74jQ	T-10000	1
26124005	0	Glipizide (product)	f36..	C-A2430	1
26237000	0	Ankle edema (finding)	XM01K	F-18A90	0
26396009	0	Dislocation, incomplete (morphologic abnormality)	XUAZN	M-13020	1
26444007	0	Shoulder girdle structure (body structure)	Xa1kW	T-12200	1
26548008	0	Pancreatic hormone product (product)	XUAb3	C-A2050	1
26864007	0	Structure of product of conception (body structure)	Xa1Vh	T-F0000	1
27010001	0	Partial excision of large intestine (procedure)	XUAh5	P1-57302	0
27063009	0	Excision of lesion of gallbladder (procedure)	78140	P1-5C302	0
27065002	0	Surgical suture, device (physical object)	X79lv	A-13500	1
27252002	2	Chordate (organism)	XUAk6	L-80000	1
27268008	0	Genus Salmonella (organism)	X73L3	L-17100	1
27464007	0	Structure of gastrointestinal serosa (body structure)	XUAmi	T-50134	1
27471002	0	Aerobic bacteria (organism)	XUAmn	L-10033	1
27532002	0	Endoscopy and removal of foreign material (procedure)	XUAnY	P1-07006	0
27550009	0	Disorder of blood vessel (disorder)	XUAno	D3-80000	0
27624003	0	Chronic disease (disorder)	XUAor	DF-00003	0
27635008	0	Aching pain (finding)	1DC2.	F-A2690	1
27832009	0	Structure of thoracic viscus (body structure)	XUArS	T-D3030	1
28087009	0	Fracture, delayed union (morphologic abnormality)	XaF7T	M-12400	1
28119000	0	Renal hypertension (disorder)	XUAv2	D3-02110	0
28231008	0	Gallbladder structure (body structure)	XM0Pt	T-63000	1
28273000	0	Bile duct structure (body structure)	Xa8SL	T-60610	1
28320003	5	Bactericide (substance)	XUAxU	C-00210	1
28347008	0	External ear structure (body structure)	XM0PB	T-AB100	1
28559008	0	Structure of colic flexure (body structure)	XUB0M	T-59430	1
28845006	0	Acute appendicitis with generalized peritonitis (disorder)	XUB42	D5-46300	0
28939002	0	Endoscopic polypectomy of large intestine (procedure)	XUB5F	P1-57704	0
29627003	0	Structure of neck of femur (body structure)	7NA81	T-12712	1
29836001	0	Hip region structure (body structure)	Xa1qf	T-D2500	1
29896003	0	Betamethasone preparation (product)	fe1..	C-A0270	1
29913006	4	Rheumatism (disorder)	X7063	D1-50600	1
30021000	0	Lower leg structure (body structure)	Xa8pt	T-D9400	1
30067000	0	Cardiac drug (product)	XUBJ9	C-80300	1
30217000	0	Proliferation (morphologic abnormality)	XUBL7	M-76000	1
30315005	0	Small intestinal structure (body structure)	Xa1Fu	T-58000	1
30492008	0	Diuretic (product)	x0039	C-72000	1
30556007	0	Recurrent dislocation of shoulder region (disorder)	XE1E5	D1-22361	0
30821001	0	Electromagnetic radiation (physical force)	XUBSR	A-81020	1
30938003	0	Langhans giant cell (cell)	XUBTr	M-62530	1
31094006	0	Structure of lobe of lung (body structure)	XUBVj	T-28770	1
31113003	0	Diverticulum (morphologic abnormality)	XUBVt	M-32700	1
31156008	0	Structure of left half of body (body structure)	XUBWV	T-D0017	0
31387002	0	Exercise-induced asthma (disorder)	173A.	D2-51020	1
31398001	0	Joint structure of shoulder region (body structure)	XUBZP	T-15410	1
31414002	0	Amide (substance)	XUBZb	C-21800	1
31426007	0	Nematode (organism)	X73oJ	L-55100	1
31435000	0	Fallopian tube structure (body structure)	XM0QC	T-88000	1
31749008	0	Structure of soft tissues of thorax (body structure)	XUBdR	T-D3250	1
31984004	0	Closed fracture of bones of trunk (disorder)	XUBgY	DD-11004	0
31992008	0	Secondary hypertension (disorder)	G24..	D3-02200	1
32062004	0	Common carotid artery structure (body structure)	XU8yW	T-45100	1
32153003	0	Left lower extremity structure (body structure)	XS0BF	T-D9020	0
32457005	0	Body fluid (substance)	XaDul	T-D0070	1
32485007	0	Hospital admission (procedure)	Xa1qK	P0-10000	1
32611003	0	Structure of rectal ampulla (body structure)	XUBo2	T-59650	1
32622004	0	Descending colon structure (body structure)	7N314	T-59460	1
32696007	0	Structure of right lower leg (body structure)	XUBp0	T-D9410	0
32964001	0	Arthropod (organism)	X73pT	L-60000	1
32975002	4	Catheterization of urinary bladder (procedure)	7B2B.	P1-74500	1
32987009	0	Both fallopian tubes (body structure)	Xa1IL	T-88800	0
33003004	0	Structure of proximal shaft of femur (body structure)	7NA88	T-12721	1
33124007	0	Tolbutamide (product)	f3a..	C-A2460	1
33286000	0	Secondary immune deficiency disorder (disorder)	X20Il	DC-50012	1
33463005	0	Liquid substance (substance)	XUByZ	C-00300	1
33468001	0	Hematology procedure (procedure)	XUByd	P3-30000	1
33565001	0	Chemical compound (substance)	XM0Ed	C-10030	1
33653009	0	Absence of sensation (finding)	X75qv	F-A2005	0
33769005	0	Breast function (observable entity)	XUC2A	F-8A000	1
33883002	0	Joint structure of head (body structure)	XU8sX	T-15100	1
34012005	0	Sulfonylurea (product)	f3...	C-A2400	1
34014006	0	Viral disease (disorder)	X70Iu	DE-30000	0
34020007	0	Pneumonia due to Streptococcus (disorder)	H223.	DE-14213	0
34093004	0	Disorder of hematopoietic system (navigational concept)	XUC6G	DC-00000	1
34402009	0	Rectum structure (body structure)	Xa1G1	T-59600	1
34565006	0	Closed anterior dislocation of humerus (disorder)	XUCC7	DD-14501	0
34582008	0	Catecholamine (substance)	X7959	F-B2130	1
34707002	0	Biliary tract structure (body structure)	XaAZ6	T-60600	1
34759008	0	Urethral catheter, device (physical object)	Xa3du	A-26864	1
34853001	0	Operation on intestine (procedure)	XUCFf	P1-56010	0
34896006	0	Incision (procedure)	X79w3	P1-01000	0
34922002	0	Lung field (body structure)	XUCGY	T-28840	1
35150008	0	Glucocorticoid hormone (substance)	XUCJT	F-B0220	1
35359004	0	Family (social concept)	XUCM4	S-10000	1
35461009	0	Urinary tract structure (body structure)	XM0Pv	T-70000	1
35524003	0	Arthropathy associated with another disorder (disorder)	XUCO6	D1-20400	0
35834003	0	Analgesic AND antipyretic (substance)	XaDZB	C-60100	1
36024000	0	Gangrene (morphologic abnormality)	XM07q	M-54600	1
36272005	0	Infectious agent (organism)	XUCXM	L-00110	1
36456004	0	Mental state finding (finding)	6652.	F-90000	1
36485005	0	Restrictive lung disease (disorder)	XUCa7	D2-50010	1
36504009	0	Ankylosis (morphologic abnormality)	XUCaM	M-13500	1
36692007	0	Known (qualifier value)	XC0re	G-A464	1
36887008	0	Mineralocorticoid hormone (substance)	XUCf6	F-B0210	1
37017009	0	Helminth (organism)	X73oI	L-55000	1
37270008	0	Endoscope, device (physical object)	X79iC	A-2B000	1
37328000	0	Weaning, function (observable entity)	XUCkN	F-8A050	1
37661000	0	Operation on digestive tract (procedure)	XUCoj	P1-50000	0
37759000	0	Surgical instrument, device (physical object)	XaBxy	A-14000	1
37763007	0	Parasite (organism)	XC0WT	L-50000	1
37782003	0	Damage (morphologic abnormality)	XUCqC	M-01150	1
37810007	0	Myeloid leukemia, no ICD-O subtype (morphologic abnormality)	BBr60	M-98603	1
37842001	0	Antemortem blood clot (morphologic abnormality)	XUCqt	M-35010	1
37898001	0	Dressing, device (physical object)	XUCrb	A-13350	1
38033009	0	Amputation stump (morphologic abnormality)	Xa9LR	M-17080	1
38102005	0	Cholecystectomy (procedure)	7810.	P1-5C330	0
38242008	0	Male internal genitalia structure (body structure)	XaE1H	T-90020	1
38266002	0	Entire body as a whole (body structure)	XS0ui	T-D0010	1
38318006	5	Medical procedure on heart (procedure)	XUCwe	P2-30010	1
38341003	0	Hypertensive disorder, systemic arterial (disorder)	XE0Ub	D3-02000	1
38481006	0	Hypertensive renal disease (disorder)	XE0Uf	D3-02700	0
38586004	0	Laser-generated electromagnetic radiation (physical force)	Xa0xS	A-81080	1
38807002	4	Disorder: Primary malignant neoplasm (disorder)	X78ef	DF-00430	1
38829003	0	Partial excision (procedure)	XUD3t	P1-03001	1
38848004	0	Duodenal structure (body structure)	Xa1Fq	T-58200	1
38850007	0	Chronic arthropathy (disorder)	XUD4B	D1-20003	0
38866009	0	Body part structure (body structure)	XUD4N	T-D0011	1
38904005	0	Removal of urinary system device (procedure)	XUD4t	P1-70020	0
38936003	0	Abnormal blood pressure (finding)	XUD5P	F-31002	1
39132006	0	Structure of right side of trunk (body structure)	XS0Ic	T-D2021	0
39155009	0	Hypertension education (procedure)	XUD8L	PA-60250	1
39211005	0	Bowel action (observable entity)	X76d9	F-54210	1
39266006	0	Abnormal cell (cell)	XUD9v	M-62000	1
39352004	0	Joint structure (body structure)	XaEin	T-15001	1
39487003	0	Insulin product (product)	x006f	C-A2200	1
39499005	0	Structure of artery of thorax AND/OR abdomen (body structure)	XUDD6	T-46000	1
39582006	0	Lobar bronchus structure (body structure)	XUDEF	T-26A00	1
39607008	0	Lung structure (body structure)	XM0PM	T-28000	1
39722005	0	Entire bilocular joint (body structure)	XS02U	T-15012	1
39727004	0	Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium (disorder)	XUDGO	D8-11196	1
39741008	0	Gastrointestinal drug (product)	x019E	C-84000	1
39866004	0	Animal (organism)	X79ol	L-80010	1
39933002	0	Pancreatic hormone (substance)	XaIBp	F-B6000	1
39937001	0	Skin structure (body structure)	XaElB	T-01000	1
40173000	0	Incision of bladder (procedure)	7B265	P1-74100	0
40388003	0	Implant, device (physical object)	X79jL	A-04010	1
40683002	0	Parent (person)	Xa0rT	S-10100	1
40733004	0	Infectious disease (disorder)	A....	DE-00000	0
40768004	0	Left thorax structure (body structure)	XS0Dp	T-D3020	0
40927001	0	Both lower legs (body structure)	XaA8z	T-D9480	0
40983000	0	Upper arm structure (body structure)	XUDX1	T-D8200	1
41052006	0	Structure of articular cartilage (body structure)	XUDXs	T-15007	1
41111004	0	Bone structure of shaft of femur (body structure)	XaCM5	T-12717	1
41141002	0	Operative procedure on large intestine (procedure)	XaAtS	P1-57000	0
41146007	0	Bacterium (organism)	X79pY	L-10000	1
41175001	0	Organic compound (substance)	XM0Eg	C-10092	1
41216001	0	Prostatic structure (body structure)	XM0Q4	T-92000	1
41224006	0	Structure of left lower lobe of lung (body structure)	XU8x4	T-28700	0
41266007	0	Disorder of immune system (navigational concept)	C39..	DC-50000	1
41329004	0	Polyp (morphologic abnormality)	XUDbK	M-76800	1
41368006	0	Disorder of urinary tract (disorder)	XUDbk	D7-10000	0
41381004	0	Pneumonia due to Pseudomonas (disorder)	H221.	DE-19151	0
41427001	0	Disorder of bronchus (disorder)	X104d	D2-30000	0
41508009	0	Cerumen (substance)	X79mL	T-AB245	1
41699000	0	Effusion (morphologic abnormality)	XUDg1	M-36700	1
42030000	0	Disorder of the genitourinary system (disorder)	XUDkC	D7-00000	0
42505005	0	Joint disease rehabilitation (regime/therapy)	XUDq2	P7-90042	1
42508007	0	Fracture, closed, comminuted (morphologic abnormality)	XS2TF	M-12190	1
42560003	0	Operation on biliary tract (procedure)	X20bT	P1-5C040	0
42586008	0	Large blood vessel structure (body structure)	XS04l	T-40320	1
42643001	0	Disorder of urinary bladder (disorder)	X30NT	D7-21000	0
42647000	4	Pain sensation, function (observable entity)	XUDre	F-A2050	1
42752001	0	Due to (attribute)	X75N6	G-C001	1
43201005	0	Amine (substance)	Xa7Nc	C-21700	1
