CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
18373002	0	Nervous system function (observable entity)	XU8fF	F-A0000	1
18526009	0	Disorder of appendix (disorder)	Xa9C3	D5-46000	0
18629005	0	Administration of drug or medicament (procedure)	Ua1VF	PA-30000	0
18867006	0	Structure resulting from tissue repair process (morphologic abnormality)	XU8lS	M-78300	1
19030005	0	Human immunodeficiency virus (organism)	Xa0ye	L-35210	1
19061001	0	Ascaris lumbricoides (organism)	X80sF	L-56201	1
19093009	0	Structure of proximal third of shaft of bone (body structure)	XU8oB	T-11053	1
19130008	0	Traumatic abnormality (morphologic abnormality)	XU8oe	M-10000	1
19203006	0	Structure of abdominal viscus (body structure)	XU8qi	T-D4030	1
19227008	0	Foreign body (morphologic abnormality)	X79hh	M-30400	1
19440001	0	Explosion (physical force)	XU8x5	A-80400	1
19660004	0	Disorder of soft tissue (disorder)	XaCOm	D1-50040	0
19744006	0	Operation on gallbladder (procedure)	781..	P1-5C010	0
19787009	0	Lower urinary tract structure (body structure)	XaDwr	T-70020	1
19829001	0	Disorder of lung (disorder)	XU97x	D2-50000	0
19923001	0	Catheter, device (physical object)	x00iG	A-26800	1
20135006	0	Screening procedure (procedure)	XE1TS	P2-06000	0
20139000	0	Structure of respiratory system (body structure)	XU9Gb	T-20000	1
20568009	0	Urinary catheter, device (physical object)	X7AFX	A-26870	1
20613002	0	Cystoscope, device (physical object)	X79iF	A-2B070	1
20946005	0	Fracture, closed (morphologic abnormality)	XaF7P	M-12100	1
20957000	0	Disorder of carbohydrate metabolism (disorder)	C31..	D6-50000	1
20997002	0	Hand tool, device (physical object)	XU9V4	A-45501	1
21371007	0	Operation on abdominal region (procedure)	XU9Zl	P1-B6010	0
21512007	0	Appendiceal crypt of Lieberkühn (body structure)	XU9bT	T-59206	1
21514008	0	Structure of genitourinary system (body structure)	X755u	T-70200	1
21656000	0	Removal of calculus of prostate (procedure)	XU9dI	P1-78390	0
21720007	0	Electrical burn (morphologic abnormality)	XU9e5	M-11130	1
21793004	0	Connective tissue structure (body structure)	XU9ex	T-1A200	1
21814001	0	Cardiac ventricular structure (body structure)	XM0PT	T-32400	1
21829004	0	Blood vessel finding (finding)	X76Kq	F-3A000	0
21844003	0	Pelvic cavity structure (body structure)	Xa1vG	T-D6221	1
22091006	0	Hormone preparation (product)	XU9if	C-A0000	1
22253000	0	Pain (finding)	Xa07F	F-A2600	1
22286001	0	External carotid artery structure (body structure)	XU8yc	T-45200	1
22331004	0	Acute monocytic leukemia, morphology (morphologic abnormality)	BBr91	M-98913	1
22488003	0	Appendiceal serosa (body structure)	XU9nV	T-59230	1
22911007	0	Closed traumatic dislocation of joint of shoulder region (disorder)	XU9sm	DD-14500	0
22943007	0	Trunk structure (body structure)	Xa1gJ	T-D2000	1
23043003	0	Uterine adnexae structure (body structure)	Xa8pp	T-88900	1
23583003	0	Inflammation (morphologic abnormality)	XUA0z	M-40000	1
23852006	0	Cardiac monitoring (regime/therapy)	XUA4T	P2-34010	1
23968004	0	Colectomy (procedure)	X20XD	P1-57330	0
23973005	0	Indwelling urinary catheter, device (physical object)	XUA5r	A-26871	1
24028007	0	Right (qualifier value)	7NB31	G-A100	1
24136001	0	Hip joint structure (body structure)	Xa1Q5	T-15710	1
24184005	0	Finding of increased blood pressure (finding)	XUA8L	F-31003	0
24448007	2	Bacterial infection due to Klebsiella pneumoniae (disorder)	XUABV	DE-19110	1
24526004	0	Inflammatory bowel disease (disorder)	XE0ae	D5-40990	1
24907000	0	Disease due to Lentivirus (disorder)	XUAHA	DE-36200	0
25005004	0	Snare, device (physical object)	XM0GE	A-14050	1
25064002	0	Headache (finding)	XE0rh	F-A2700	1
25087005	0	Structure of nervous system (body structure)	7N0..	T-A0000	1
25305005	0	Long-acting insulin (substance)	XUAM0	C-A2212	1
25876001	0	Emergency (qualifier value)	X78uH	G-D209	1
26036001	0	Obstruction (morphologic abnormality)	X79q0	M-34000	1
26107004	0	Structure of musculoskeletal system (body structure)	X74jQ	T-10000	1
26124005	0	Glipizide (product)	f36..	C-A2430	1
26237000	0	Ankle edema (finding)	XM01K	F-18A90	0
26396009	0	Dislocation, incomplete (morphologic abnormality)	XUAZN	M-13020	1
26444007	0	Shoulder girdle structure (body structure)	Xa1kW	T-12200	1
26548008	0	Pancreatic hormone product (product)	XUAb3	C-A2050	1
27010001	0	Partial excision of large intestine (procedure)	XUAh5	P1-57302	0
27063009	0	Excision of lesion of gallbladder (procedure)	78140	P1-5C302	0
27065002	0	Surgical suture, device (physical object)	X79lv	A-13500	1
27268008	0	Genus Salmonella (organism)	X73L3	L-17100	1
27464007	0	Structure of gastrointestinal serosa (body structure)	XUAmi	T-50134	1
27471002	0	Aerobic bacteria (organism)	XUAmn	L-10033	1
27550009	0	Disorder of blood vessel (disorder)	XUAno	D3-80000	0
27624003	0	Chronic disease (disorder)	XUAor	DF-00003	0
27832009	0	Structure of thoracic viscus (body structure)	XUArS	T-D3030	1
28087009	0	Delayed union of fracture (morphologic abnormality)	XaF7T	M-12400	1
28119000	0	Renal hypertension (disorder)	XUAv2	D3-02110	0
28231008	0	Gallbladder structure (body structure)	XM0Pt	T-63000	1
28273000	0	Bile duct structure (body structure)	Xa8SL	T-60610	1
28559008	0	Structure of colic flexure (body structure)	XUB0M	T-59430	1
28845006	0	Acute appendicitis with generalized peritonitis (disorder)	XUB42	D5-46300	0
28939002	0	Endoscopic polypectomy of large intestine (procedure)	XUB5F	P1-57704	0
29627003	0	Structure of neck of femur (body structure)	7NA81	T-12712	1
29836001	0	Hip region structure (body structure)	Xa1qf	T-D2500	1
29896003	0	Betamethasone preparation (product)	fe1..	C-A0270	1
30021000	0	Lower leg structure (body structure)	Xa8pt	T-D9400	1
30217000	0	Proliferation (morphologic abnormality)	XUBL7	M-76000	1
30556007	0	Recurrent dislocation of shoulder region (disorder)	XE1E5	D1-22361	0
30938003	0	Langhans giant cell (cell)	XUBTr	M-62530	1
31094006	0	Structure of lobe of lung (body structure)	XUBVj	T-28770	1
31113003	0	Diverticulum (morphologic abnormality)	XUBVt	M-32700	1
31156008	0	Structure of left half of body (body structure)	XUBWV	T-D0017	0
31387002	0	Exercise-induced asthma (disorder)	173A.	D2-51020	1
31398001	0	Joint structure of shoulder region (body structure)	XUBZP	T-15410	1
31414002	0	Amide (substance)	XUBZb	C-21800	1
31426007	2	Nematode (organism)	X73oJ	L-55100	1
31435000	0	Fallopian tube structure (body structure)	XM0QC	T-88000	1
31992008	0	Secondary hypertension (disorder)	G24..	D3-02200	1
32062004	0	Common carotid artery structure (body structure)	XU8yW	T-45100	1
32153003	0	Left lower extremity structure (body structure)	XS0BF	T-D9020	0
32457005	0	Body fluid (substance)	XaDul	T-D0070	1
32485007	0	Hospital admission (procedure)	Xa1qK	P0-10000	1
32611003	0	Structure of rectal ampulla (body structure)	XUBo2	T-59650	1
32622004	0	Descending colon structure (body structure)	7N314	T-59460	1
32696007	0	Structure of right lower leg (body structure)	XUBp0	T-D9410	0
32964001	0	Arthropod (organism)	X73pT	L-60000	1
32987009	0	Both fallopian tubes (body structure)	Xa1IL	T-88800	1
33003004	0	Structure of proximal shaft of femur (body structure)	7NA88	T-12721	1
33124007	0	Tolbutamide (product)	f3a..	C-A2460	1
33286000	0	Secondary immune deficiency disorder (disorder)	X20Il	DC-50012	1
33463005	0	Liquid substance (substance)	XUByZ	C-00300	1
33468001	0	Hematology procedure (procedure)	XUByd	P3-30000	1
33565001	4	Chemical compound (substance)	XM0Ed	C-10030	1
33653009	0	Absence of sensation (finding)	X75qv	F-A2005	0
33769005	0	Breast function (observable entity)	XUC2A	F-8A000	1
33883002	0	Joint structure of head (body structure)	XU8sX	T-15100	1
34012005	0	Sulfonylurea (product)	f3...	C-A2400	1
34014006	0	Viral disease (disorder)	X70Iu	DE-30000	0
34020007	0	Pneumonia due to Streptococcus (disorder)	H223.	DE-14213	1
34402009	0	Rectum structure (body structure)	Xa1G1	T-59600	1
34565006	0	Closed anterior dislocation of humerus (disorder)	XUCC7	DD-14501	0
34582008	0	Catecholamine (substance)	X7959	F-B2130	1
34707002	0	Biliary tract structure (body structure)	XaAZ6	T-60600	1
34759008	0	Urethral catheter, device (physical object)	Xa3du	A-26864	1
34853001	0	Operation on intestine (procedure)	XUCFf	P1-56010	0
34896006	0	Incision (procedure)	X79w3	P1-01000	0
34922002	0	Lung field (body structure)	XUCGY	T-28840	1
35105006	0	Increased (qualifier value)	X80wY	G-A317	1
35331000	0	Toxic substance (substance)	X807c	C-00220	1
35359004	0	Family (social concept)	XUCM4	S-10000	1
35461009	4	Urinary tract structure (body structure)	XM0Pv	T-70000	1
35524003	0	Arthropathy associated with another disorder (disorder)	XUCO6	D1-20400	0
35834003	0	Analgesic AND antipyretic (substance)	XaDZB	C-60100	1
36024000	0	Gangrene (morphologic abnormality)	XM07q	M-54600	1
36272005	0	Infectious agent (navigational concept)	XUCXM	L-00110	1
36456004	0	Mental state finding (finding)	6652.	F-90000	1
36504009	0	Ankylosis (morphologic abnormality)	XUCaM	M-13500	1
36692007	0	Known (qualifier value)	XC0re	G-A464	1
37017009	0	Helminth (navigational concept)	X73oI	L-55000	1
37270008	0	Endoscope, device (physical object)	X79iC	A-2B000	1
37328000	0	Weaning, function (observable entity)	XUCkN	F-8A050	1
37661000	0	Operation on digestive tract (procedure)	XUCoj	P1-50000	0
37759000	0	Surgical instrument, device (physical object)	XaBxy	A-14000	1
37763007	0	Parasite (navigational concept)	XC0WT	L-50000	1
37782003	0	Damage (morphologic abnormality)	XUCqC	M-01150	1
37898001	0	Dressing, device (physical object)	XUCrb	A-13350	1
38033009	0	Amputation stump (body structure)	Xa9LR	M-17080	1
38102005	0	Cholecystectomy (procedure)	7810.	P1-5C330	0
38242008	0	Male internal genitalia structure (body structure)	XaE1H	T-90020	1
38266002	0	Entire body as a whole (body structure)	XS0ui	T-D0010	1
38341003	0	Hypertensive disorder, systemic arterial (disorder)	XE0Ub	D3-02000	1
38481006	0	Hypertensive renal disease (disorder)	XE0Uf	D3-02700	0
38850007	0	Chronic arthropathy (disorder)	XUD4B	D1-20003	0
38866009	0	Body part structure (body structure)	XUD4N	T-D0011	1
38904005	0	Removal of urinary system device (procedure)	XUD4t	P1-70020	0
38936003	0	Abnormal blood pressure (finding)	XUD5P	F-31002	0
39132006	0	Structure of right side of trunk (body structure)	XS0Ic	T-D2021	0
39155009	0	Hypertension education (procedure)	XUD8L	PA-60250	1
39211005	0	Bowel action (observable entity)	X76d9	F-54210	1
39266006	0	Abnormal cell (cell)	XUD9v	M-62000	1
39352004	0	Joint structure (body structure)	XaEin	T-15001	1
39487003	0	Insulin product (product)	x006f	C-A2200	1
39499005	0	Structure of artery of thorax AND/OR abdomen (body structure)	XUDD6	T-46000	1
39582006	0	Lobar bronchus structure (body structure)	XUDEF	T-26A00	1
39607008	0	Lung structure (body structure)	XM0PM	T-28000	1
39722005	0	Entire bilocular joint (body structure)	XS02U	T-15012	1
39727004	0	Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium (disorder)	XUDGO	D8-11196	1
39741008	0	Gastrointestinal drug (product)	x019E	C-84000	1
39866004	0	Animal (organism)	X79ol	L-80010	1
39933002	0	Pancreatic hormone (substance)	XaIBp	F-B6000	1
40173000	0	Incision of bladder (procedure)	7B265	P1-74100	0
40388003	0	Implant, device (physical object)	X79jL	A-04010	1
40683002	0	Parent (person)	Xa0rT	S-10100	1
40733004	0	Infectious disease (disorder)	A....	DE-00000	0
40768004	0	Left thorax structure (body structure)	XS0Dp	T-D3020	0
41111004	0	Bone structure of shaft of femur (body structure)	XaCM5	T-12717	1
41141002	0	Operative procedure on large intestine (procedure)	XaAtS	P1-57000	0
41146007	0	Bacterium (organism)	X79pY	L-10000	1
41175001	0	Organic compound (substance)	XM0Eg	C-10092	1
41216001	0	Prostatic structure (body structure)	XM0Q4	T-92000	1
41224006	0	Structure of left lower lobe of lung (body structure)	XU8x4	T-28700	0
41329004	0	Polyp (morphologic abnormality)	XUDbK	M-76800	1
41381004	0	Pneumonia due to Pseudomonas (disorder)	H221.	DE-19151	1
41427001	0	Disorder of bronchus (disorder)	X104d	D2-30000	0
41508009	0	Cerumen (substance)	X79mL	T-AB245	1
42030000	0	Disorder of the genitourinary system (disorder)	XUDkC	D7-00000	0
42505005	0	Joint disease rehabilitation (regime/therapy)	XUDq2	P7-90042	1
42508007	0	Fracture, closed, comminuted (morphologic abnormality)	XS2TF	M-12190	1
42560003	0	Operation on biliary tract (procedure)	X20bT	P1-5C040	0
42586008	0	Large blood vessel structure (body structure)	XS04l	T-40320	1
42752001	0	Due to (attribute)	X75N6	G-C001	1
43201005	0	Amine (substance)	Xa7Nc	C-21700	1
43693005	0	Appendiceal subserosa (body structure)	XUE4f	T-59231	1
43741000	0	Site of care (environment)	XUE5E	S-80000	1
43748006	0	Removal of urinary bladder catheter (procedure)	Xa3qa	P1-74509	0
43799004	0	Thoracic cavity structure (body structure)	X74Xz	T-D3200	1
43851006	0	Structure of left lower lobe posterior segmental bronchus (body structure)	XUE6j	T-26740	1
44029006	0	Left lung structure (body structure)	XU8wt	T-28500	0
44132006	0	Abscess (morphologic abnormality)	Xa9Gg	M-41610	1
44714003	0	Structure of left upper lobe of lung (body structure)	XU8wx	T-28600	0
44772007	0	Maternal obesity syndrome (disorder)	L16D.	D8-14110	1
45048000	0	Neck structure (body structure)	Xa1h1	T-D1600	1
45308003	0	Upper genitourinary tract structure (body structure)	XS0r8	T-70220	1
45653009	0	Structure of upper lobe of lung (body structure)	XUESK	T-28820	1
45835000	0	Destructive procedure of pelvic region (procedure)	XUEUW	P1-14C00	0
46148009	0	Structure of posterior basal segment of left lower lobe of lung (body structure)	XU8xD	T-28740	1
46242002	0	Body secretion (substance)	XUEZP	T-1A300	1
46541008	0	Second degree burn injury (morphologic abnormality)	XUEdH	M-11102	1
46678004	0	Simple caries (morphologic abnormality)	XUEeq	M-54211	1
46680005	0	Vital sign (observable entity)	XUEer	F-03400	1
46770001	0	Protozoan parasite (navigational concept)	XaB36	L-50001	1
46866001	0	Fracture of lower limb (disorder)	S3...	DD-13000	0
47429007	0	Associated with (attribute)	Xa4CO	G-C002	1
47572004	0	Delayed union of comminuted fracture (morphologic abnormality)	XS2Td	M-12490	1
47990007	0	Structure of artery of head, neck AND/OR brain (body structure)	XUEur	T-45000	1
48077000	0	Lower jaw region structure (body structure)	XC0HY	T-D1215	1
48125009	0	Injury of trunk (disorder)	Xa2Cm	DD-00200	0
48146000	0	Diastolic hypertension (disorder)	XUEwn	D3-02250	1
48176007	0	Social context (social concept)	XUExB	S-00000	1
48185007	0	Destruction of lesion of urinary bladder (procedure)	XUExJ	P1-74C00	0
48194001	0	Pregnancy-induced hypertension (disorder)	XE0vr	D8-11010	1
48333001	0	Burn injury (morphologic abnormality)	XaBnl	M-11100	1
48428001	0	Cardiovascular monitoring (regime/therapy)	XE0hg	P2-34000	1
48469005	0	Cytologic material (specimen)	XUF0f	T-1A400	1
48566001	0	Bone structure of extremity (body structure)	XaABg	T-11085	1
48661000	0	Peritonitis (disorder)	J55..	D5-70100	0
48694002	0	Anxiety (finding)	XUF3G	F-0B320	1
48979004	0	Structure of left lower leg (body structure)	XUF6k	T-D9420	0
49006001	0	Removal of foreign body from bladder by incision (procedure)	7B251	P1-74319	0
49062001	0	Device (physical object)	XUF7j	A-00100	1
49076000	0	Knee joint structure (body structure)	Xa1Q4	T-15720	1
49228006	5	Accidental injury (morphologic abnormality)	XUF9x	M-100A0	1
49438003	0	Appendectomy with drainage (procedure)	XaBAV	P1-57452	0
49483002	0	Disorder of mediastinum (disorder)	X103B	D2-81000	0
49596003	0	Digestive organ structure (body structure)	XUFEN	T-60000	1
49601007	0	Disorder of cardiovascular system (disorder)	XE0UX	D3-00000	0
49755003	0	Morphologically abnormal structure (morphologic abnormality)	Xa7jz	M-01000	1
49832006	0	Structure of rectosigmoid junction (body structure)	XUFHD	T-59670	1
49872002	0	Virus (organism)	X79pa	L-30000	1
49917003	0	Male genitourinary system structure (body structure)	XS0sf	T-90100	1
50043002	0	Disorder of respiratory system (disorder)	H....	D2-00000	0
50399007	0	Closed dislocation (morphologic abnormality)	XUFOQ	M-13100	1
50410009	0	Disorder of upper digestive tract (disorder)	XUFOb	D5-00020	0
50417007	0	Lower respiratory tract infection (disorder)	X1004	D2-00100	0
51114001	0	Arterial structure (body structure)	Xa8SO	T-41000	1
51185008	0	Thoracic structure (body structure)	Xa1ga	T-D3000	1
51289009	0	Digestive tract structure (body structure)	XUFZR	T-50100	1
51440002	0	Right and left (qualifier value)	7NB30	G-A102	1
51636004	0	Structure of left ankle (body structure)	XUFdi	T-D9520	0
51860002	0	Diagnostic procedure on musculoskeletal system (procedure)	XUFgY	P1-10010	0
52017007	0	Antiemetic (product)	x019V	C-85800	1
52052004	0	Rehabilitation therapy (regime/therapy)	Xa0iI	P7-90000	1
52101004	0	Present (qualifier value)	X80xq	G-A203	1
52329006	0	Fracture, open (morphologic abnormality)	XaF7Q	M-12200	1
52530000	0	Body region structure (body structure)	Xa1gD	T-D0000	1
52642002	0	Peptide (substance)	XUFq5	F-62460	1
52684005	0	Assault (event)	U3...	A-A0010	1
52731004	0	Abdominal cavity structure (body structure)	Xa1vE	T-D4010	1
52890006	0	Acute generalized peritonitis (disorder)	XUFt4	D5-70110	0
53009005	0	Analgesic (product)	X794c	C-60110	1
53065001	0	Female genital structure (body structure)	Xa1Da	T-80000	1
53084003	0	Bacterial pneumonia (disorder)	X100H	DE-10100	1
53120007	0	Upper limb structure (body structure)	Xa1ZA	T-D8000	1
53350007	0	Prosthesis, device (physical object)	XE0hP	A-04000	1
53394001	0	Structure of diaphysis (body structure)	Xa2Dj	T-11050	1
53619000	0	Disorder of digestive system (disorder)	J....	D5-00000	0
53620006	0	Temporomandibular joint structure (body structure)	Xa9U3	T-15290	1
53767003	0	Endoscopic biopsy (procedure)	XUG3X	P1-07030	0
54066008	0	Pharyngeal structure (body structure)	XM0PK	T-55000	1
54708003	0	Extended zinc insulin (substance)	XUGEj	C-A2250	1
54787006	0	Shellfish (organism)	XUGFo	L-72840	1
54993008	0	Cardiac index (observable entity)	X776Z	F-32110	1
55014007	0	Family Orthomyxoviridae (organism)	X73lf	L-32800	1
55071005	0	Biopsy of intestine (procedure)	XUGJC	P1-56300	0
55342001	0	Neoplastic disease (disorder)	XE1vN	DF-00400	0
55441007	0	Structure of large artery (body structure)	XUGNm	T-41500	1
55449009	0	Removal of urethral catheter (procedure)	7B2B2	P1-75560	0
55470003	0	Acute infarct (morphologic abnormality)	XUGO7	M-54720	1
55566008	0	Accidental physical contact (event)	X79q4	A-A1000	1
55572008	0	Left colon structure (body structure)	XUGPY	T-59450	1
55641003	0	Infarct (morphologic abnormality)	XUGQV	M-54700	1
56265001	0	Heart disease (disorder)	X2003	D3-10000	0
56381008	0	Calculus (morphologic abnormality)	XUGa4	M-30000	1
56415008	0	Klebsiella pneumoniae (organism)	X73KJ	L-16001	1
56459004	0	Foot structure (body structure)	Xa1fX	T-D9700	1
56551004	0	Doctor's or dentist's receptionist (occupation)	XUGc0	J-39430	1
56873002	0	Bone structure of sternum (body structure)	XM0RA	T-11210	1
57032008	0	Genus Pseudomonas (organism)	X73OU	L-23400	1
57048009	0	Contracture (morphologic abnormality)	XUGiK	M-78220	1
57134006	0	Instrument, device (physical object)	X79iA	A-00110	1
57171008	0	Hematopoietic system structure (body structure)	XS0s9	T-C0000	1
57177007	0	Family history with explicit context (situation)	12...	G-0002	0
57257006	0	Transurethral approach (qualifier value)	X811t	G-D003	1
57312000	0	Sex structure (body structure)	XUGlU	T-D0A90	1
57639000	0	Resection of lesion of bladder (procedure)	XUGpY	P1-74310	0
57645008	0	Structure of special senses organ system (body structure)	XUGpc	T-A0180	1
57697001	0	Growth alteration (morphologic abnormality)	XUGqF	M-70000	1
