DESCRIPTIONID	DESCRIPTIONSTATUS	CONCEPTID	TERM	INITIALCAPITALSTATUS	DESCRIPTIONTYPE	LANGUAGECODE
6039011	1	2969000	Body space, NOS	0	2	en
6230018	0	3092008	Staphylococcus aureus	1	1	en
6231019	0	3092008	Micrococcus pyogenes var. aureus	1	2	en
6232014	0	3092008	Staphylococcus pyogenes aureus	1	2	en
6233016	0	3092008	Staphylococcus pyogenes citreus	1	2	en
6949011	0	3525006	Humidity	0	1	en
6950011	1	3525006	Humidity, NOS	0	2	en
7252017	1	3711007	Great vessels, NOS	0	2	en
7491012	1	3855007	Disease of pancreas	0	2	en
7492017	1	3855007	Disease of pancreas, NOS	0	2	en
7493010	1	3855007	Disorder of pancreas, NOS	0	2	en
7494016	0	3855007	Disorder of pancreas	0	1	en
7733012	0	4421005	Cell	0	2	en
7734018	1	4421005	Cell, NOS	0	2	en
7792016	0	4527007	Joint of lower extremity	0	2	en
7793014	1	4527007	Joint of lower extremity, NOS	0	2	en
8238017	0	126090008	Pregnanes	1	1	en
8405011	0	4147007	Mass	0	1	en
8406012	1	4147007	Localized mass, NOS	0	2	en
8407015	1	4147007	Mass, NOS	0	2	en
8408013	1	4147007	Lump, NOS	0	2	en
8409017	0	4147007	Localized mass	0	2	en-US
8410010	0	4147007	Lump	0	2	en
8460016	0	4180000	Both lower extremities	0	1	en
9181019	8	4908009	Past history of	0	2	en
9182014	1	4908009	PH	0	2	en
9386019	0	5008001	Pitting edema	0	1	en-US
9611013	0	5137004	Recurrent dislocation of joint	0	1	en
9612018	1	5137004	Recurrent dislocation of joint, NOS	0	2	en
10004018	8	5383004	Fracture-dislocation	0	1	en
10447014	0	5668004	Lower digestive tract	0	2	en
10448016	0	5668004	Lower gastrointestinal tract	0	2	en
10791013	1	5880005	Physical examination, NOS	0	2	en
10792018	1	5880005	Clinical examination, NOS	0	2	en
10793011	0	5880005	Clinical examination	0	2	en
10843018	0	5913000	Fracture of neck of femur	0	1	en
10844012	1	5913000	Fracture of hip, NOS	0	2	en
10845013	0	5913000	Femoral neck fracture	0	2	en
10846014	0	5913000	Fracture of hip	0	2	en
11094016	0	6076005	Gastrointestinal subserosa	0	2	en
11095015	1	6076005	Gastrointestinal subserosa, NOS	0	2	en
11203012	0	6142004	Influenza	0	1	en
11204018	1	6142004	Influenza, NOS	0	2	en
11205017	0	6142004	Flu	0	2	en
11206016	0	6142004	Grippe	0	2	en
11899010	0	6574001	Necrosis	0	1	en
11900017	1	6574001	Necrosis, NOS	0	2	en
11901018	0	6574001	Tissue devitalization	0	2	en-US
11902013	1	6574001	Cellular necrosis, NOS	0	2	en
11903015	0	6574001	Cellular necrosis	0	2	en
12072014	0	6685009	Right ankle	0	2	en
12313015	0	6834003	Axial skeleton	0	2	en
12692018	0	7087005	Intermittent	0	1	en
13417011	0	7523003	Injury of upper leg	0	2	en
13418018	0	7523003	Injury to thigh	0	2	en
13497012	1	7571003	Guilt	0	2	en
13498019	0	7571003	Guilt feelings	0	2	en
13741013	0	7704007	Stabilizing appliance	0	1	en-US
13742018	1	7704007	Stabilizing appliance, NOS	0	2	en
13853016	0	7771000	Left	0	1	en
13854010	0	7771000	Left lateral	0	2	en
13855011	0	7771000	Levo-	0	2	en
14026014	0	7878000	Accidental death	0	1	en
14027017	1	7878000	Accidental death, NOS	0	2	en
14046016	0	7890003	Contracture of joint	0	1	en
14047013	1	7890003	Contracture of joint, NOS	0	2	en
14056017	0	7895008	Poisoning by drug AND/OR medicinal substance	0	1	en
14057014	1	7895008	Drug poisoning, NOS	0	2	en
14058016	0	7895008	Therapeutic agent toxicity	0	2	en
14059012	0	7895008	Drug toxicity	0	2	en
14060019	0	7895008	Drug poisoning	0	2	en
14061015	1	7895008	Poisoning by drug or medicinal substance, NEC	0	2	en
14079016	0	7906001	Open dislocation	0	2	en
14080018	1	7906001	Compound dislocation, NOS	0	2	en
14081019	1	7906001	Open dislocation, NOS	0	2	en
14082014	0	7906001	Compound dislocation	0	2	en
14656016	1	8279000	Pelvic organs, NOS	0	2	en
14657013	1	8279000	Pelvic viscera	0	2	en
15202013	0	8609009	Traumatic agent	0	1	en
15203015	1	8609009	Traumatic agent, NOS	0	2	en
15204014	1	8609009	Destructive agent, NOS	0	2	en
15205010	0	8609009	Destructive agent	0	2	en
15213011	0	8613002	Operation on appendix	0	1	en
15214017	1	8613002	Operation on appendix, NOS	0	2	en
15422014	0	8745002	Gram-positive bacterium	1	2	en
16050014	0	9121000	Excision of lesion of large intestine	0	1	en
16813014	0	126134000	Epinephrine bitartrate	0	1	en-US
16890013	0	9656002	Consolidation	0	1	en
17498018	0	10024003	Base of lung	0	2	en
17499014	1	10024003	Base of lung, NOS	0	2	en
17537011	0	10052007	Male	0	2	en
17538018	1	10052007	Male, NOS	0	2	en
17539014	1	10052007	Male individual, NOS	0	2	en
17540011	0	10052007	Male individual	0	2	en
17694013	0	10147004	Fly	0	1	en
17695014	1	10147004	Fly, NOS	0	2	en
17776014	0	10200004	Liver	0	2	en
17777017	1	10200004	Liver, NOS	0	2	en
18536017	0	10668002	Skin anti-infective	0	1	en
18537014	1	10668002	Skin anti-infective, NOS	0	2	en
18632012	0	10725009	Benign hypertension	0	1	en
18844013	0	10849003	Removal of foreign body	0	1	en
18845014	1	10849003	Removal of foreign body, NOS	0	2	en
19554011	0	11281008	Precerebral artery	0	1	en
19555012	1	11281008	Precerebral artery, NOS	0	2	en
19926013	0	11527006	All arteries	0	2	en
19927016	1	11527006	All arteries, NOS	0	2	en
20102017	0	11639007	Puncture	0	1	en
20103010	1	11639007	Puncture, NOS	0	2	en
20104016	0	11639007	Puncture wound	0	2	en
20105015	0	11639007	Prick	0	2	en
20223018	0	11705000	RNA virus	1	1	en
20382012	0	11810009	Operation on male genital system	0	1	en
20383019	1	11810009	Operation on male genital system, NOS	0	2	en
20510012	0	11891009	Respiratory air	0	2	en
20511011	1	11891009	Respiratory air, NOS	0	2	en
20512016	1	11891009	Breath, NOS	0	2	en
20513014	0	11891009	Breath	0	1	en
21343017	0	12402003	Scar	0	1	en
21344011	1	12402003	Scar, NOS	0	2	en
21345012	0	12402003	Scar tissue	0	2	en
21346013	0	12402003	Cicatrix	0	2	en
21347016	0	12402003	Fibrous scar	0	2	en
21550017	0	12535006	Acquired absence	0	1	en
21551018	1	12535006	Acquired absence, NOS	0	2	en
21879017	0	12745006	Operative procedure on pelvis	0	1	en
21880019	1	12745006	Operative procedure on pelvis, NOS	0	2	en
22149011	0	12921003	Pelvis	0	2	en
22150011	1	12921003	Pelvis, NOS	0	2	en
22197012	0	12953007	File	0	1	en
22476016	0	13136005	Injection site	0	1	en
22477013	1	13136005	Injection site, NOS	0	2	en
22786016	0	13321001	Fracture, comminuted	0	1	en
23296019	0	13648007	Urethra	0	2	en
23297011	1	13648007	Urethra, NOS	0	2	en
23743012	0	13924000	Wound	0	1	en
23744018	1	13924000	Wound, NOS	0	2	en
23822019	0	13975002	Open dislocation of shoulder	0	2	en
23823012	1	13975002	Open dislocation of shoulder, NOS	0	2	en
23824018	1	13975002	Open dislocation of humerus, NOS	0	2	en
23825017	0	13975002	Open dislocation of humerus	0	2	en
23879014	0	14016003	Bone marrow	0	2	en
23880012	1	14016003	Bone marrow, NOS	0	2	en
23881011	0	14016003	Hematopoietic tissue	0	2	en-US
23882016	0	14016003	Hemopoietic tissue	0	2	en-US
23884015	0	14016003	Haematopoietic tissue	0	2	en-GB
23885019	0	14016003	Hematopoietic marrow	0	2	en-US
23886018	0	14016003	Haematopoietic marrow	0	2	en-GB
24353017	8	14319004	Local anti-infective	0	1	en
24354011	1	14319004	Local anti-infective, NOS	0	2	en
24355012	1	14319004	Local antiseptic, NOS	0	2	en
24356013	8	14319004	Local antiseptic	0	2	en
24555011	0	14443002	Aminoglycoside -class of antibiotic-	0	1	en
24557015	1	14443002	Aminoglycoside, NOS	0	2	en
24732011	0	14559000	Apex of left lung	0	2	en
24933012	0	14679004	Occupation	0	1	en
24934018	1	14679004	Occupation, NOS	0	2	en
24935017	1	14679004	Profession, NOS	0	2	en
24936016	1	14679004	Job, NOS	0	2	en
24937013	0	14679004	Profession	0	2	en
24938015	0	14679004	Job	0	2	en
25032013	0	14734007	Administrative procedure	0	1	en
25033015	1	14734007	Administrative procedure, NOS	0	2	en
25047016	0	14742008	Large intestine	0	2	en
25048014	1	14742008	Large intestine, NOS	0	2	en
25049018	1	14742008	Large bowel, NOS	0	2	en
25050018	0	14742008	Large bowel	0	2	en
25086017	0	14766002	Removal by suction	0	2	en
25087014	0	14766002	Aspiration procedure	0	2	en
25125018	0	14789005	Prosthetic implant	0	1	en
25126017	1	14789005	Prosthetic implant, NOS	0	2	en
25127014	1	14789005	Implanted prosthetic device, NOS	0	2	en
25128016	0	14789005	Attached prosthetic device	0	2	en
25129012	0	14789005	Implanted prosthetic device	0	2	en
25243014	0	14861000	Operation on bladder	0	1	en
25244015	1	14861000	Operation on bladder, NOS	0	2	en
25832012	0	15220000	Laboratory test	0	1	en
25833019	1	15220000	Laboratory test, NOS	0	2	en
25862018	0	15240007	Current	0	1	en
25863011	0	15240007	Currently	0	2	en
26155015	0	15425007	Peritoneum	0	2	en
26156019	1	15425007	Peritoneum, NOS	0	2	en
26157011	1	15425007	Serous membrane of abdomen, NOS	0	2	en
26158018	0	15425007	Serous membrane of abdomen	0	2	en
26188010	0	15447007	Joint prosthesis	0	1	en
26189019	1	15447007	Joint prosthesis, NOS	0	2	en
26560013	0	15672000	Superficial temporal artery	0	2	en
26737015	0	15776009	Pancreas	0	2	en
26738013	1	15776009	Pancreas, NOS	0	2	en
26739017	1	15776009	Exocrine and endocrine pancreas, NOS	0	2	en
26740015	0	15776009	Exocrine and endocrine pancreas	0	2	en
26819014	0	15825003	Aorta	0	2	en
26820015	1	15825003	Aorta, NOS	0	2	en
26988014	0	15938005	Eclampsia	0	1	en
26989018	0	15938005	Toxemia with convulsions	0	2	en-US
26990010	0	15938005	Eclamptic toxemia	0	2	en-US
27688018	0	16349000	Orthopedic device	0	1	en-US
27689014	1	16349000	Orthopedic device, NOS	0	2	en
28181011	0	16650009	Splint	0	1	en
28371017	0	16756008	Albuminuria in pregnancy without hypertension	0	1	en
28667013	0	16932000	Nausea and vomiting	0	1	en
28743014	0	16982005	Shoulder	0	2	en
28744015	1	16982005	Shoulder, NOS	0	2	en
28790011	0	17006003	Replacement of bladder catheter	0	1	en
29319018	1	17346000	Disease of endocrine pancreas	0	2	en
29320012	1	17346000	Disease of endocrine pancreas, NOS	0	2	en
29321011	1	17346000	Disorder of endocrine pancreas, NOS	0	2	en
29322016	1	17346000	Disorder of pancreatic islets, NOS	0	2	en
29323014	1	17346000	Disorder of islets of Langerhans, NOS	0	2	en
29324015	0	17346000	Disorder of endocrine pancreas	0	1	en
29325019	0	17346000	Disorder of pancreatic islets	0	2	en
29326018	0	17346000	Disorder of islets of Langerhans	0	2	en
29400012	0	17386008	Anti-infective agent	0	1	en
29401011	1	17386008	Anti-infective agent, NOS	0	2	en
29421012	0	17398003	Left side of heart	0	2	en
29693013	8	17571003	Upper urinary tract	0	2	en
30055018	0	17788007	Acute myeloid leukemia	0	1	en-US
30056017	0	17788007	Acute granulocytic leukemia	0	2	en-US
30057014	0	17788007	Acute myelogenous leukemia	0	2	en-US
30058016	0	17788007	Acute myeloblastic leukemia	0	2	en-US
30059012	0	17788007	Acute myelocytic leukemia	0	2	en-US
30656016	0	18151003	Punch	0	1	en
30657013	1	18151003	Punch, NOS	0	2	en
30917013	0	18307000	Altered	0	1	en
30918015	0	18307000	Modified	0	2	en
31015012	0	18373002	Nervous system function	0	1	en
31016013	1	18373002	Nervous system function, NOS	0	2	en
31017016	1	18373002	Neurological function, NOS	0	2	en
31018014	0	18373002	Neurological function	0	2	en
31255018	1	18526009	Disease of appendix	0	2	en
31256017	1	18526009	Disease of appendix, NOS	0	2	en
31412019	0	18629005	Administration of medication	0	1	en
31413012	1	18629005	Administration of medication, NOS	0	2	en
31806016	0	18867006	Tissue repair	0	1	en
31807013	1	18867006	Repair, NOS	0	2	en
31808015	1	18867006	Tissue repair, NOS	0	2	en
31809011	1	18867006	Healing following injury, NOS	0	2	en
31810018	1	18867006	Repair following injury, NOS	0	2	en
31811019	0	18867006	Healing	0	2	en
31812014	1	18867006	Wound healing, NOS	0	2	en
31813016	0	18867006	Healing following injury	0	2	en
31814010	0	18867006	Repair following injury	0	2	en
31815011	0	18867006	Wound healing	0	2	en
32076019	0	19030005	Human immunodeficiency virus	0	1	en
32077011	1	19030005	Human immunodeficiency virus, NOS	0	2	en
32078018	0	19030005	HIV	1	2	en
32079014	0	19030005	AIDS virus	1	2	en
32129013	0	19061001	Ascaris lumbricoides	1	1	en
32182018	0	19093009	Proximal third of shaft of bone	0	2	en
32242017	0	19130008	Injury	0	2	en
32243010	1	19130008	Injury, NOS	0	2	en
32244016	1	19130008	Trauma, NOS	0	2	en
32245015	0	19130008	Trauma	0	2	en
32355019	1	19203006	Abdominal viscera, NOS	0	2	en
32356018	1	19203006	Viscera, NOS	0	2	en
32410013	0	19227008	Foreign body	0	1	en
32411012	1	19227008	Foreign body, NOS	0	2	en
32412017	1	19227008	Exogenous material, NOS	0	2	en
32413010	1	19227008	Foreign material, NOS	0	2	en
32414016	0	19227008	Exogenous material	0	2	en
32415015	0	19227008	Foreign material	0	2	en
32745016	0	19440001	Explosion	0	1	en
33099011	0	19660004	Disorder of soft tissue	0	1	en
33100015	1	19660004	Disorder of soft tissue, NOS	0	2	en
33246012	0	19744006	Operation on gallbladder	0	1	en
33247015	1	19744006	Operation on gallbladder, NOS	0	2	en
33320010	0	19787009	Lower urinary tract	0	2	en
33384015	1	19829001	Disease of lung	0	2	en
33385019	1	19829001	Disease of lung, NOS	0	2	en
33386018	1	19829001	Lung disorder, NOS	0	2	en
33387010	1	19829001	Pulmonary disease, NOS	0	2	en
33388017	0	19829001	Lung disorder	0	2	en
33389013	0	19829001	Pulmonary disease	0	2	en
33535010	0	19923001	Catheter	0	1	en
33536011	1	19923001	Catheter, NOS	0	2	en
33873017	0	20135006	Screening procedure	0	1	en
33874011	1	20135006	Screening procedure, NOS	0	2	en
33880015	0	20139000	Respiratory system	0	2	en
33881016	1	20139000	Respiratory system, NOS	0	2	en
33882011	1	20139000	Respiratory tract, NOS	0	2	en
33883018	7	20139000	Respiratory tract	0	2	en
34615012	0	20568009	Urinary catheter	0	1	en
34616013	0	20568009	Bladder catheter	0	2	en
34697015	0	20613002	Cystoscope	0	1	en
35216011	0	20946005	Fracture, closed	0	1	en
35217019	1	20946005	Fracture, closed, NOS	0	2	en
35236012	0	20957000	Disorder of carbohydrate metabolism	0	1	en
35237015	1	20957000	Disorder of carbohydrate metabolism, NOS	0	2	en
35298011	0	20997002	Hand tool	0	1	en
35890013	0	21371007	Operation on abdominal region	0	1	en
35891012	1	21371007	Operation on abdominal region, NOS	0	2	en
36092010	0	21512007	Appendiceal crypt of Lieberkühn	0	1	en
36093017	0	21512007	Appendiceal crypt of Lieberkuhn	0	2	en
36095012	0	21514008	Genitourinary system	0	2	en
36096013	1	21514008	Genitourinary system, NOS	0	2	en
36097016	1	21514008	Urogenital system, NOS	0	2	en
36098014	1	21514008	Genitourinary tract, NOS	0	2	en
36099018	0	21514008	Urogenital system	0	2	en
36100014	0	21514008	Genitourinary tract	0	2	en
36342018	0	21656000	Removal of calculus of prostate	0	1	en
36448018	0	21720007	Electrical burn	0	1	en
36570017	0	21793004	Connective tissue	0	2	en
36571018	1	21793004	Connective tissue, NOS	0	2	en
36601012	0	21814001	Ventricle	0	2	en
36602017	1	21814001	Ventricle, NOS	0	2	en
36603010	0	21814001	Cardiac ventricle	0	2	en
36625016	0	21829004	Vascular sign OR symptom	0	2	en
36626015	1	21829004	Vascular finding	0	2	en
36628019	1	21829004	Vascular sign or symptom, NOS	0	2	en
36653016	0	21844003	Pelvic cavity	0	2	en
37066010	0	22091006	Hormone preparation	0	1	en
37067018	0	22091006	Hormone agent	0	2	en
37068011	1	22091006	Hormone preparation, NOS	0	2	en
37069015	1	22091006	Endocrine substance preparation, NOS	0	2	en
37070019	1	22091006	Hormone product, NOS	0	2	en
37071015	1	22091006	Hormone drug, NOS	0	2	en
37072010	1	22091006	Hormone agent, NOS	0	2	en
37073017	0	22091006	Endocrine substance preparation	0	2	en
37074011	0	22091006	Hormone product	0	2	en
37075012	0	22091006	Hormone drug	0	2	en
37361011	0	22253000	Pain	0	1	en
37362016	1	22253000	Pain, NOS	0	2	en
37363014	0	22253000	Dolor	1	2	en
37412010	0	22286001	External carotid artery	0	2	en
37413017	1	22286001	External carotid artery, NOS	0	2	en
37494010	0	22331004	Acute monocytic leukemia	0	1	en-US
37495011	0	22331004	Monoblastic leukemia	0	2	en-US
37496012	0	22331004	Acute monoblastic leukemia	0	2	en-US
37497015	1	22331004	Monoblastic leukemia, NOS	0	2	en
37498013	0	22331004	FAB M5	1	2	en
37499017	0	22331004	FAB M5A	1	2	en
37500014	0	22331004	FAB M5B	1	2	en
37744010	0	22488003	Appendiceal serosa	0	1	en
38467013	1	22911007	Closed dislocation of shoulder, NOS	0	2	en
38468015	1	22911007	Closed dislocation of humerus, NOS	0	2	en
38541018	0	22943007	Trunk	0	2	en
38542013	1	22943007	Trunk, NOS	0	2	en
38706015	0	23043003	Uterine adnexa	0	2	en
38707012	1	23043003	Uterine adnexa, NOS	0	2	en
39603011	0	23583003	Inflammation	0	1	en
39604017	0	23583003	Leukocytic infiltrate	0	2	en-US
39605016	1	23583003	Leucocytic infiltrate, NOS	0	2	en
39606015	1	23583003	Inflammation, NOS	0	2	en
39607012	1	23583003	Inflammatory reaction, NOS	0	2	en
39608019	1	23583003	Inflammatory cell infiltration, NOS	0	2	en
39609010	1	23583003	Inflammatory infiltration, NOS	0	2	en
39610017	1	23583003	Leukocytic infiltrate, NOS	0	2	en
39611018	0	23583003	Inflammatory reaction	0	2	en
39612013	0	23583003	Inflammatory cell infiltration	0	2	en
39613015	0	23583003	Inflammatory infiltration	0	2	en
40061018	0	23852006	Cardiac monitoring	0	1	en
40062013	1	23852006	Cardiac monitoring, NOS	0	2	en
40242011	0	23968004	Colectomy	0	1	en
40243018	1	23968004	Colectomy, NOS	0	2	en
40248010	0	23973005	Indwelling urinary catheter	0	1	en
40249019	0	23973005	Indwelling bladder catheter	0	2	en
40250019	0	23973005	Permanent bladder catheter	0	2	en
40330015	0	24028007	Right	0	1	en
40331016	0	24028007	Right lateral	0	2	en
40332011	0	24028007	Dextro	1	2	en
40520011	0	24136001	Hip joint	0	2	en
40521010	1	24136001	Hip joint, NOS	0	2	en
40595010	1	24184005	Increased blood pressure (not hypertension)	0	2	en
40596011	1	24184005	Elevated blood pressure (not hypertension)	0	2	en
41006015	8	24448007	Bacterial infection due to Klebsiella pneumoniae	0	1	en
41007012	8	24448007	Bacterial infection due to Friedlander's bacillus	0	2	en
41137017	0	24526004	Inflammatory bowel disease	0	1	en
41138010	1	24526004	Inflammatory bowel disease, NOS	0	2	en
41746015	0	24907000	Disease due to Lentivirus	0	1	en
41747012	1	24907000	Disease due to Lentivirus, NOS	0	2	en
41907010	0	25005004	Snare	0	1	en
41908017	1	25005004	Snare, NOS	0	2	en
41990019	0	25064002	Headache	0	1	en
41991015	1	25064002	Headache, NOS	0	2	en
41992010	0	25064002	Head pain	0	2	en
41993017	0	25064002	Cephalalgia	0	2	en
41994011	0	25064002	Cephalgia	0	2	en
41995012	0	25064002	Cephalodynia	0	2	en
42045011	0	25087005	Nervous system	0	2	en
42046012	1	25087005	Nervous system, NOS	0	2	en
42424010	0	25305005	Long-acting insulin	0	1	en
42425011	1	25305005	Long-acting insulin, NOS	0	2	en
43351018	0	25876001	Emergency	0	1	en
43617014	0	26036001	Obstruction	0	1	en
43618016	1	26036001	Obstruction, NOS	0	2	en
43619012	1	26036001	Occlusion, NOS	0	2	en
43620018	1	26036001	Block, NOS	0	2	en
43621019	0	26036001	Occlusion	0	2	en
43622014	0	26036001	Block	0	2	en
43747017	0	26107004	Musculoskeletal system	0	2	en
43748010	1	26107004	Musculoskeletal system, NOS	0	2	en
43749019	1	26107004	Locomotor system, NOS	0	2	en
43750019	0	26107004	Locomotor system	0	2	en
43774016	0	26124005	Glipizide	0	1	en
43775015	0	26124005	Glydiazinamide	0	2	en
43948016	0	26237000	Ankle edema	0	1	en-US
44210010	0	26396009	Dislocation, incomplete	0	2	en
44211014	1	26396009	Dislocation, incomplete, NOS	0	2	en
44212019	0	26396009	Subluxation	0	1	en
44290011	0	26444007	Shoulder girdle	0	2	en
44291010	1	26444007	Shoulder girdle, NOS	0	2	en
44451014	1	26548008	Pancreatic hormone preparation	0	2	en
44452019	1	26548008	Pancreatic hormone preparation, NOS	0	2	en
45175014	0	27010001	Partial excision of large intestine	0	1	en
45176010	0	27010001	Partial resection of large intestine	0	2	en
45279012	0	27063009	Excision of lesion of gallbladder	0	1	en
45282019	0	27065002	Surgical suture	0	1	en
45283012	1	27065002	Surgical suture, NOS	0	2	en
45587014	0	27268008	Salmonella	1	1	en
45588016	1	27268008	Salmonella, NOS	0	2	en
45922014	0	27464007	Gastrointestinal serosa	0	2	en
45923016	1	27464007	Gastrointestinal serosa, NOS	0	2	en
45932019	0	27471002	Aerobic bacteria	0	1	en
46100012	0	27550009	Vascular disease	0	2	en
46101011	1	27550009	Vascular disease, NOS	0	2	en
46102016	1	27550009	Vascular disorder, NOS	0	2	en
46103014	1	27550009	Angiopathy, NOS	0	2	en
46104015	0	27550009	Vascular disorder	0	1	en
46105019	0	27550009	Angiopathy	0	2	en
46235018	0	27624003	Chronic disease	0	1	en
46236017	1	27624003	Chronic disease, NOS	0	2	en
46582012	1	27832009	Thoracic viscera, NOS	0	2	en
47027017	0	28087009	Fracture, delayed union	0	2	en
47028010	1	28087009	Fracture, delayed union, NOS	0	2	en
47076011	0	28119000	Renal hypertension	0	1	en
47253019	0	28231008	Gallbladder	0	2	en
47254013	1	28231008	Gallbladder, NOS	0	2	en
47320014	0	28273000	Bile duct	0	2	en
47321013	1	28273000	Bile duct, NOS	0	2	en
47798012	0	28559008	Colic flexure	0	2	en
47799016	1	28559008	Colic flexure, NOS	0	2	en
48298010	0	28845006	Acute appendicitis with generalized peritonitis	0	1	en-US
48453019	0	28939002	Endoscopic polypectomy of large intestine	0	1	en
49557013	0	29627003	Neck of femur	0	2	en
49558015	0	29627003	Transcervical section of neck of femur	0	2	en
49926016	0	29836001	Hip	0	2	en
49927013	1	29836001	Hip, NOS	0	2	en
50037015	0	29896003	Betamethasone preparation	0	1	en
50038013	0	29896003	Flubenisolone preparation	0	2	en
50234018	0	30021000	Leg	0	2	en
50235017	1	30021000	Leg, NOS	0	2	en
50571015	0	30217000	Proliferation	0	1	en
50572010	1	30217000	Proliferation, NOS	0	2	en
51143013	0	30556007	Recurrent dislocation of shoulder region	0	1	en
51805013	0	30938003	Langhans giant cell	1	1	en
52046016	0	31094006	Lobe of lung	0	2	en
52047013	1	31094006	Lobe of lung, NOS	0	2	en
52074014	0	31113003	Diverticulum	0	1	en
52075010	1	31113003	Diverticulum, NOS	0	2	en
52076011	0	31113003	Diverticula	0	2	en
52077019	0	31113003	Diverticulosis	0	2	en
52141012	0	31156008	Left side of body	0	2	en
52467014	0	31387002	Exercise-induced asthma	0	1	en
52488017	0	31398001	Shoulder joint	0	2	en
52489013	1	31398001	Shoulder joint, NOS	0	2	en
52513018	0	31414002	Amide	0	1	en
52514012	1	31414002	Amide, NOS	0	2	en
52532012	8	31426007	Nematode	0	2	en
52533019	1	31426007	Nematode, NOS	0	2	en
52534013	1	31426007	Roundworm, NOS	0	2	en
52535014	8	31426007	Roundworm	0	2	en
52544010	0	31435000	Fallopian tube	0	2	en
52545011	1	31435000	Fallopian tube, NOS	0	2	en
52546012	0	31435000	Uterine tube	0	2	en
53452019	0	31992008	Secondary hypertension	0	1	en
53453012	1	31992008	Secondary hypertension, NOS	0	2	en
53581015	0	32062004	Common carotid artery	0	2	en
53582010	1	32062004	Common carotid artery, NOS	0	2	en
53718016	0	32153003	Left lower extremity	0	2	en
53719012	1	32153003	Left lower extremity, NOS	0	2	en
54192015	0	32457005	Body fluid	0	1	en
54193013	1	32457005	Body fluid, NOS	0	2	en
54238014	0	32485007	Hospital admission	0	1	en
